epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,205.071,0.71352,0.51358,0.98869,0.83092,0.7349,0.8002,0.58092,0.98257,0.8456,1.16856,3.92489e-05,3.92489e-05,3.92489e-05
2,404.981,0.72462,0.52424,0.99548,0.80157,0.73108,0.78433,0.56282,1.01228,0.90102,1.19891,7.70263e-05,7.70263e-05,7.70263e-05
3,596.101,0.76467,0.57159,1.01571,0.81569,0.70848,0.76814,0.54274,1.03779,0.90432,1.2147,0.000113246,0.000113246,0.000113246
4,794.702,0.77759,0.59568,1.02281,0.80822,0.7066,0.77324,0.54669,1.03656,0.92896,1.19889,0.000110991,0.000110991,0.000110991
5,984.477,0.78727,0.60906,1.02446,0.80873,0.70686,0.77828,0.55339,1.02349,0.87898,1.19288,0.000108654,0.000108654,0.000108654
6,1186.61,0.78746,0.61051,1.02329,0.80021,0.71775,0.78238,0.5554,1.03116,0.89352,1.19967,0.000106318,0.000106318,0.000106318
7,1375.94,0.79029,0.60497,1.03058,0.80356,0.70558,0.77578,0.55508,1.02453,0.9141,1.20066,0.000103982,0.000103982,0.000103982
8,1575,0.79075,0.60171,1.02645,0.8087,0.71501,0.78482,0.56019,1.03826,0.89931,1.20483,0.000101645,0.000101645,0.000101645
9,1765.56,0.78653,0.60204,1.02737,0.80006,0.72419,0.78327,0.55752,1.04685,0.90876,1.21136,9.93088e-05,9.93088e-05,9.93088e-05
10,1958.41,0.78944,0.60066,1.02902,0.78735,0.72139,0.77446,0.55278,1.0333,0.90463,1.20323,9.69724e-05,9.69724e-05,9.69724e-05
11,2148.94,0.78086,0.59267,1.02231,0.8237,0.71937,0.78873,0.56584,1.02129,0.87977,1.18631,9.4636e-05,9.4636e-05,9.4636e-05
12,2339.86,0.77127,0.58443,1.01676,0.81955,0.71858,0.78778,0.56367,1.02087,0.85923,1.18723,9.22996e-05,9.22996e-05,9.22996e-05
13,2531.88,0.80399,0.61346,1.03309,0.80958,0.72648,0.78962,0.56436,1.02633,0.88044,1.19996,8.99632e-05,8.99632e-05,8.99632e-05
14,2724.27,0.79864,0.60507,1.03459,0.80635,0.73235,0.78894,0.5671,1.02637,0.87384,1.20229,8.76268e-05,8.76268e-05,8.76268e-05
15,2917.12,0.791,0.60042,1.03045,0.81624,0.70995,0.77997,0.56293,1.01363,0.87298,1.1854,8.52904e-05,8.52904e-05,8.52904e-05
16,3109.22,0.7793,0.59221,1.02224,0.79634,0.73311,0.7855,0.56536,1.01379,0.85464,1.19518,8.2954e-05,8.2954e-05,8.2954e-05
17,3304.03,0.77851,0.58372,1.02896,0.8323,0.70686,0.78512,0.56596,1.0249,0.8828,1.20047,8.06176e-05,8.06176e-05,8.06176e-05
18,3494.39,0.77374,0.57757,1.02186,0.81743,0.70533,0.78045,0.56062,1.0207,0.87405,1.19083,7.82812e-05,7.82812e-05,7.82812e-05
19,3690.26,0.7682,0.57242,1.01768,0.80777,0.71858,0.79012,0.571,1.01983,0.88407,1.19754,7.59448e-05,7.59448e-05,7.59448e-05
20,3884.11,0.76279,0.57596,1.01604,0.80723,0.71946,0.7859,0.56646,1.02354,0.88696,1.19759,7.36084e-05,7.36084e-05,7.36084e-05
21,4081.42,0.75876,0.55512,1.00676,0.83418,0.71556,0.79456,0.57494,1.01247,0.86064,1.18925,7.1272e-05,7.1272e-05,7.1272e-05
22,4284.4,0.75891,0.56104,1.00921,0.81889,0.71705,0.78391,0.56209,1.02217,0.87432,1.19931,6.89356e-05,6.89356e-05,6.89356e-05
23,4476.81,0.76103,0.5573,1.01351,0.82399,0.72598,0.79461,0.57177,1.01982,0.86074,1.19613,6.65992e-05,6.65992e-05,6.65992e-05
24,4676.62,0.74462,0.54544,1.00543,0.82304,0.71731,0.78933,0.5684,1.01693,0.85279,1.19803,6.42628e-05,6.42628e-05,6.42628e-05
25,4863.96,0.74332,0.54576,1.00701,0.81915,0.71425,0.78792,0.57212,1.01175,0.8742,1.18644,6.19264e-05,6.19264e-05,6.19264e-05
26,5059.56,0.73832,0.5392,1.00049,0.82271,0.7334,0.79674,0.57797,1.00973,0.86392,1.188,5.959e-05,5.959e-05,5.959e-05
27,5287.94,0.73287,0.52808,0.99759,0.8121,0.73821,0.79384,0.58151,1.01175,0.86107,1.1909,5.72536e-05,5.72536e-05,5.72536e-05
28,5517.67,0.73177,0.52746,0.99525,0.83748,0.72244,0.79818,0.57545,1.02156,0.85339,1.19882,5.49172e-05,5.49172e-05,5.49172e-05
29,5748.17,0.74288,0.53801,1.00102,0.82995,0.71536,0.79128,0.57646,1.01215,0.85138,1.18757,5.25808e-05,5.25808e-05,5.25808e-05
30,5994.12,0.7354,0.5324,0.99986,0.84307,0.7089,0.79266,0.57565,1.01129,0.873,1.19064,5.02444e-05,5.02444e-05,5.02444e-05
31,6223.52,0.73868,0.53794,1.00275,0.82773,0.72113,0.79188,0.57673,1.00081,0.85707,1.18222,4.7908e-05,4.7908e-05,4.7908e-05
32,6449.24,0.72328,0.52541,0.99708,0.82323,0.72295,0.78959,0.57679,1.01535,0.86029,1.19866,4.55716e-05,4.55716e-05,4.55716e-05
33,6677.99,0.72886,0.52579,0.99544,0.85594,0.7058,0.7983,0.58509,1.00031,0.84568,1.17595,4.32352e-05,4.32352e-05,4.32352e-05
34,6909.05,0.72529,0.52029,0.99344,0.83797,0.72394,0.79409,0.58447,1.00377,0.85902,1.17546,4.08988e-05,4.08988e-05,4.08988e-05
35,7141.16,0.72489,0.52088,0.99658,0.83966,0.72292,0.79606,0.58287,1.00185,0.85554,1.17972,3.85624e-05,3.85624e-05,3.85624e-05
36,7377.87,0.72418,0.51622,0.99127,0.84524,0.71986,0.79661,0.5824,1.00652,0.85257,1.19129,3.6226e-05,3.6226e-05,3.6226e-05
37,7607.41,0.7057,0.50443,0.98969,0.85003,0.72385,0.80019,0.58884,0.9995,0.84415,1.19018,3.38896e-05,3.38896e-05,3.38896e-05
38,7837.13,0.70355,0.50177,0.98563,0.8509,0.72164,0.79934,0.5845,1.00664,0.84921,1.19605,3.15532e-05,3.15532e-05,3.15532e-05
39,8067.51,0.70472,0.50307,0.9833,0.84823,0.7219,0.79573,0.58315,0.99789,0.84953,1.18728,2.92168e-05,2.92168e-05,2.92168e-05
40,8300.39,0.70186,0.50168,0.98752,0.84,0.72878,0.79717,0.58467,1.00566,0.85236,1.20082,2.68804e-05,2.68804e-05,2.68804e-05
41,8580.35,0.61738,0.36724,0.91805,0.82874,0.73082,0.79134,0.57765,1.01461,0.86809,1.20329,2.4544e-05,2.4544e-05,2.4544e-05
42,8812.07,0.60303,0.35574,0.91297,0.83723,0.72572,0.79226,0.58014,1.00703,0.86679,1.20666,2.22076e-05,2.22076e-05,2.22076e-05
43,199.914,0.66597,0.47131,0.96805,0.84153,0.72828,0.79806,0.58594,1.00508,0.85744,1.20624,1.98712e-05,1.98712e-05,1.98712e-05
44,398.858,0.63936,0.44513,0.95696,0.82687,0.73592,0.79869,0.58843,1.00114,0.86609,1.20008,1.75348e-05,1.75348e-05,1.75348e-05
45,596.788,0.64231,0.44156,0.95725,0.85225,0.7219,0.79718,0.58772,1.00412,0.86726,1.20436,1.51984e-05,1.51984e-05,1.51984e-05
46,797.553,0.62653,0.42894,0.95193,0.85581,0.72926,0.80197,0.59044,0.99937,0.86015,1.19889,1.2862e-05,1.2862e-05,1.2862e-05
47,990.036,0.62684,0.42673,0.95034,0.84728,0.72929,0.80039,0.59077,1.00009,0.8648,1.20455,1.05256e-05,1.05256e-05,1.05256e-05
48,1189.19,0.62441,0.42948,0.9501,0.83645,0.73388,0.79984,0.59203,1.00226,0.85596,1.20833,8.1892e-06,8.1892e-06,8.1892e-06
49,1377.06,0.62055,0.42212,0.94976,0.8414,0.73031,0.79879,0.58994,0.9995,0.85798,1.20347,5.8528e-06,5.8528e-06,5.8528e-06
50,1573.49,0.61772,0.4172,0.9474,0.82579,0.74356,0.80049,0.59095,1.00096,0.85512,1.20644,3.5164e-06,3.5164e-06,3.5164e-06
